id	name	series	technology	vlt	uvr	irr	irr2	tser	thickness	price	showOnHomepage	isPopular
e1	DNC05	Element	Ceramic Film	5%	99%	70%	75%	62%		1100		
e2	DNC1590	Element	Ceramic Film	15%	99%	70%	75%	58%		1100		
e3	DNC35	Element	Ceramic Film	35%	99%	70%	75%	52%		1100		
s1	IR0590 HD	Shield	Nano Ceramic film	5%	99%	90%	90%	68%		1500		
s2	IR2090 HD	Shield	Nano Ceramic film	20%	99%	90%	90%	62%		1500	TRUE	TRUE
s3	IR3590 HD	Shield	Nano Ceramic film	35%	99%	90%	90%	56%		1500		
z1	PNC 05 HD	Zenith	Premium Nano Ceramic Film	7%	99%	90%	93%	73%		1800		
z2	PNC 20 HD	Zenith	Premium Nano Ceramic Film	20%	99%	90%	93%	71%		1800		
z3	PNC 35 HD	Zenith	Premium Nano Ceramic Film	35%	99%	90%	93%	65%		1800		
n1	SC0595	Nexus	Sputtering Film	7%	99%	85%	93%	75%		2200		
n2	SC2595	Nexus	Sputtering Film	25%	99%	85%	93%	68%		2200		
n3	SC3595	Nexus	Sputtering Film	35%	99%	85%	93%	65%		2200		
a1	VSN05HD	Apex	Nano Sputtering Film	7%	99%	90%	95%	80%		2500		
a2	VSN20HD	Apex	Nano Sputtering Film	20%	99%	90%	95%	76%		2500	TRUE	TRUE
a3	VSN35HD	Apex	Nano Sputtering Film	35%	99%	90%	95%	70%		2500		
g1	DSP 05 UHD PRO	Guardian	UHD Ceramic	5%	100%	80%	85%	85%		2800		
g2	DSP 15 UHD PRO	Guardian	UHD Ceramic	15%	100%	80%	85%	78%		2800	TRUE	TRUE
g3	DSP 40 UHD	Guardian	UHD Ceramic	35%	100%	80%	85%	70%		2800		
